Project,Location,z [m],qc [MPa],qt [MPa],fs [MPa],u2 [MPa],Qt [-],Fr [%],Bq [-],Ic [-],Vertical total stress [kPa],Vertical effective stress [kPa],Void ratio from CPT [-],Total unit weight [kN/m3],Vs [m/s]
HKN,HKN65-SCPT,11.48,24.02344,24.07240864,0.17739196,0.116592,213.1941294,0.743853091,-4.39E-05,1.562464481,229.6,111.93,0.524403836,20,294.56
HKN,HKN65-SCPT,12.47,25.68126923,25.73418438,0.1843845,0.125988462,209.6214587,0.723579056,-7.18E-05,1.545555084,249.4,121.5825,0.502832806,20,272.34
HKN,HKN65-SCPT,13.47,25.21757692,25.27568069,0.184274692,0.138342308,190.492462,0.736944565,1.21E-05,1.570452573,269.4,131.3325,0.48982786,20,293.62
HKN,HKN65-SCPT,14.48,24.13336,24.19589296,0.17473856,0.148888,169.3560933,0.730871298,1.96E-05,1.595329531,289.6,141.18,0.48653521,20,296.1
HKN,HKN65-SCPT,15.47,24.142,24.20893831,0.171686269,0.159376923,158.4913185,0.718561068,0.0000341,1.60260688,309.4,150.8325,0.47838358,20,294.9
HKN,HKN65-SCPT,16.47,26.65219231,26.723245,0.187283192,0.169173077,164.2953993,0.709925605,1.43E-05,1.577856323,329.4,160.5825,0.453645631,20,305.6422344
HKN,HKN65-SCPT,17.47,25.03226923,25.10783369,0.177816615,0.179915385,145.3774963,0.718177345,3.44E-05,1.61458506,349.4,170.3325,0.452298406,20,285.8
HKN,HKN65-SCPT,18.47,22.44484615,22.524798,0.160465577,0.190361539,123.0172832,0.724218587,4.81E-05,1.668346209,369.4,180.0825,0.460074917,20,286.9586462
HKN,HKN65-SCPT,19.47,21.49934615,21.582994,0.157337577,0.199161539,111.6760353,0.74216504,-2.00E-05,1.703951345,389.4,189.8325,0.454879665,20,284.25
HKN,HKN65-SCPT,20.98,23.0548,23.14544608,0.1627976,0.215824,111.1149868,0.716265801,3.38E-05,1.68571566,419.6,204.555,0.436926708,20,288.4810659
HKN,HKN65-SCPT,22.46,25.96492,26.06104456,0.1844182,0.228868,117.0043789,0.721145846,-5.32E-05,1.66122339,449.2,218.985,0.406340285,20,302.39
HKN,HKN65-SCPT,23.97,26.30942308,26.412168,0.186205923,0.244630769,110.9455362,0.71783312,-0.000041498,1.671362741,479.4,233.7075,0.394773046,20,294.55
HKN,HKN65-SCPT,25.47,26.10803846,26.21667469,0.180057385,0.258657692,103.494183,0.701804807,-9.17E-05,1.684321554,509.4,248.3325,0.390550635,20,312.39
HKN,HKN65-SCPT,26.97,29.09226923,29.20613446,0.186012885,0.271107692,108.9924995,0.648351114,-0.000185281,1.633775928,539.4,262.9575,0.377108552,20,295.77
HKN,HKN65-SCPT,28.47,25.86624,25.98709416,0.17440992,0.287748,91.59763584,0.686925216,-0.000161194,1.71452623,569.4,277.5825,0.378717782,20,288.0669379
HKN,HKN65-SCPT,29.97,26.13064,26.25853672,0.18040396,0.304516,87.82841405,0.702962782,-0.000106899,1.733745063,599.4,292.2075,0.365857741,20,306.0552544
HKN,HKN65-SCPT,31.46,24.39796154,24.53267492,0.164696077,0.320746154,77.94265647,0.689455971,-0.000072892,1.772438254,629.2,306.735,0.372261847,20,298.8
HKN,HKN65-SCPT,32.96,20.81815385,20.95923508,0.144375346,0.335907692,63.16748359,0.710960805,-9.19E-05,1.866879727,659.2,321.36,0.385104475,20,306.1635367
HKN,HKN65-SCPT,34.48,31.39723077,31.54264446,0.208309808,0.346223077,91.75560934,0.674780046,-0.000228306,1.694575445,689.6,336.18,0.324810564,20,355.34
HKN,HKN65-SCPT,35.98,29.57357692,29.726843,0.201630039,0.364919231,82.68774501,0.695104272,-0.000133599,1.744065531,719.6,350.805,0.322530222,20,306.1457619
HKN,HKN65-SCPT,36.98,33.00423077,33.16057415,0.216255875,0.372246154,90.23706626,0.686466982,-0.00016821,1.055077112,737,359.2875,0.309320082,20,326.72
HKN,HKN58-SCPT,5.48,30.72188,30.74412152,0.24446492,0.052956,573.8279602,0.798052343,-0.000105006,1.419825998,109.6,53.43,0.600413513,20,292.08
HKN,HKN58-SCPT,6.48,22.39656,22.42431192,0.19832096,0.066076,352.8954436,0.889431047,-1.42E-05,1.556112248,129.6,63.18,0.608705031,20,276.34
HKN,HKN58-SCPT,7.47,23.12234615,23.15504154,0.199005692,0.077846154,315.7647472,0.865533106,5.66E-05,1.557444933,149.4,72.8325,0.580936093,20,284.97
HKN,HKN58-SCPT,8.48,24.01448,24.05023208,0.20175324,0.085124,288.9753122,0.844961318,-0.000074807,1.556230789,169.6,82.68,0.555095939,20,274.13
HKN,HKN58-SCPT,9.49,22.19873077,22.23981,0.197350346,0.097807692,238.3767893,0.895064598,2.44E-05,1.613652356,189.8,92.5275,0.538814709,20,296
HKN,HKN58-SCPT,10.47,23.21911538,23.26212338,0.2015605,0.1024,225.9982057,0.873777877,-0.000213709,1.608150552,209.4,102.0825,0.518011274,20,289.18
HKN,HKN58-SCPT,11.47,22.73734615,22.78462038,0.195692769,0.112557692,201.7548977,0.86789961,-0.000221964,1.626850378,229.4,111.8325,0.507021247,20,270.15
HKN,HKN58-SCPT,12.47,23.62880769,23.67995077,0.204763808,0.121769231,192.6941963,0.873919788,-0.000258002,1.631299395,249.4,121.5825,0.484972499,20,286.05
HKN,HKN58-SCPT,13.47,27.89884615,27.95262554,0.234875462,0.128046154,210.7016407,0.848801097,-0.000361252,1.583353908,269.4,131.3325,0.449542783,20,296.55
HKN,HKN58-SCPT,14.47,35.11565385,35.17462023,0.289106769,0.140396154,247.2706991,0.829367503,-0.000227262,1.516429713,289.4,141.0825,0.404758285,20,287.89
HKN,HKN58-SCPT,15.47,32.08169231,32.14446454,0.273457769,0.149457692,211.2135742,0.858824803,-0.000287916,1.567981535,309.4,150.8325,0.403343219,20,317.87
HKN,HKN58-SCPT,16.47,28.14807692,28.21518646,0.234530385,0.159784615,173.7160009,0.841547536,-0.000319945,1.613585579,329.4,160.5825,0.417230602,20,311.84
HKN,HKN58-SCPT,17.46,30.27112,30.34260904,0.24336616,0.170212,176.1315282,0.810957597,-0.000290355,1.589194369,349.2,170.235,0.402615109,20,294.98
HKN,HKN58-SCPT,18.46,36.66744,36.7428132,0.28082804,0.17946,202.0706811,0.772474628,-0.000267804,1.520779652,369.2,179.985,0.371812757,20,340.08
HKN,HKN58-SCPT,19.41,37.94803846,38.02716323,0.288628692,0.188392308,198.8955263,0.766845352,-0.000280545,1.516590494,388.2,189.2475,0.360173668,20,309.98
HKN,HKN58-SCPT,20.91,28.04180769,28.12842785,0.238002539,0.206238462,135.9846455,0.863037995,-0.00028772,1.675267541,418.2,203.8725,0.379458407,20,267.66
HKN,HKN58-SCPT,22.46,18.08292,18.176664,0.16912224,0.2232,80.9824104,0.957920788,-0.000389055,1.885009289,449.2,218.985,0.419977733,20,267.69
HKN,HKN58-SCPT,23.97,17.15288462,17.25335831,0.166595462,0.239223077,71.72106724,0.997175138,-0.000382117,1.940016221,479.4,233.7075,0.412885548,20,264.82
HKN,HKN58-SCPT,25.46,14.96668,15.07427224,0.15230852,0.256172,58.68674882,1.045881833,-0.000328517,2.025099912,509.2,248.235,0.416688538,20,295.15
HKN,HKN58-SCPT,26.98,14.85076,14.96107552,0.12600028,0.262656,54.87635353,0.873799444,-0.00104066,2.003330143,539.6,263.055,0.440938935,20,293.4
HKN,HKN58-SCPT,28.48,10.09764,10.2159036,0.1753296,0.28158,34.66503641,2.272018973,0.001365434,2.471855002,569.6,277.68,0.379135905,20,291.66
HKN,HKN58-SCPT,29.96,30.52032,30.63059856,0.33714068,0.262568,102.8540637,1.174560483,-0.001007818,1.827232012,599.2,292.11,0.281298793,20,306.26
HKN,HKN58-SCPT,31.47,21.18942308,21.31423254,0.224464385,0.297165385,67.494559,1.408784931,0.005956718,2.057040182,629.4,306.8325,0.330920515,20,322.39
HKN,HKN58-SCPT,33.02,19.22816,19.29686192,0.13743648,0.163576,57.89049107,0.753404567,-0.0093595,1.916532912,660.4,321.945,0.396134871,20,342.69
HKN,HKN58-SCPT,34.48,12.50744,12.58006304,0.13465724,0.172912,35.36960233,1.162876528,-0.015146455,2.242958382,689.6,336.18,0.398405774,20,326.7999166
HKN,HKN58-SCPT,35.74,9.86852381,9.92634381,0.132659933,0.137666667,26.49064011,1.433360431,-0.029955163,1.668710262,714,348.075,0.395130932,20,272.337707
HKN,HKN56-SCPT-A,29.96,28.93508,29.06142272,0.25240336,0.300816,102.7669253,0.8866885,-0.000221193,1.751930991,584.22,277.13,0.324078775,19.5,328.87
HKN,HKN56-SCPT-A,31.48,22.95384,23.06188416,0.21262068,0.257248,77.09685836,0.953282688,-0.002785854,1.880266314,613.86,291.19,0.342176912,19.5,324.52
HKN,HKN56-SCPT-A,32.98,26.59616,26.7342644,0.21446008,0.32882,85.54294745,0.821830976,-0.000353017,1.791403235,643.11,305.065,0.333977014,19.5,357.7
HKN,HKN56-SCPT-A,34.48,16.73504,16.87314776,0.19690592,0.328828,50.87711927,1.550386542,0.002419015,2.203296969,672.36,318.94,0.34267123,19.5,324.54
HKN,HKN56-SCPT-A,35.98,17.52788,17.64087512,0.16726852,0.269036,50.88687712,1.024154476,-0.005597702,2.053262679,701.61,332.815,0.362900367,19.5,333.38
HKN,HKN56-SCPT-A,37.49,7.717846154,7.721647154,0.1489055,0.00905,20.15190384,2.250935306,-0.057921851,2.678978379,731.055,346.7825,0.371000478,19.5,352.58
HKN,HKN56-SCPT-A,38.99,6.096653846,6.442002077,0.139632346,0.822257692,15.73945098,2.48336231,0.099649026,2.801042612,760.305,360.6575,0.378242401,19.5,376.99
HKN,HKN56-SCPT-A,40.47,26.72742308,26.78543477,0.166485962,0.138123077,69.433792,0.646344253,-0.010282472,1.790933725,789.165,374.3475,0.342166953,19.5,374.12
HKN,HKN56-SCPT-A,41.98,28.3924,28.56272848,0.19965752,0.405544,71.41468589,0.727896981,-0.000891261,1.821109299,818.61,388.315,0.309819475,19.5,352.59
HKN,HKN56-SCPT-A,42.9,30.27228,30.4396668,0.213550905,0.39854,74.57895529,0.751094082,-0.001418926,1.534559366,836.55,396.825,0.297330816,19.5,408.42
HKN,HKN56-SCPT,5.48,12.62948,12.65304368,0.11165944,0.056104,247.6370658,0.889980028,-5.16E-06,1.688742238,106.86,50.69,0.771222646,19.5,217.2813309
HKN,HKN56-SCPT,6.48,10.95652,10.98421648,0.10100228,0.065944,181.1025008,0.9314471,-0.000043412,1.770058646,126.36,59.94,0.756419106,19.5,218.5935753
HKN,HKN56-SCPT,7.48,14.73044,14.76197528,0.13098548,0.075084,211.1431218,0.895982956,-0.000107391,1.692624381,145.86,69.19,0.672171036,19.5,241.538391
HKN,HKN56-SCPT,8.48,15.44488,15.48032632,0.143537,0.084396,195.3018881,0.937279521,-0.000164716,1.711175401,165.36,78.44,0.62886993,19.5,231.0735465
HKN,HKN56-SCPT,9.48,14.914,14.95385464,0.13196124,0.094892,168.4976785,0.893440988,-0.000154064,1.726938504,184.86,87.69,0.623595757,19.5,231.1084857
HKN,HKN56-SCPT,10.47,12.93203846,12.97643408,0.120562731,0.105703846,131.8918403,0.943908018,-0.000126379,1.807038264,204.165,96.8475,0.621802987,19.5,211.6605659
HKN,HKN56-SCPT,11.47,13.31692308,13.36530062,0.120631115,0.115184615,123.9010025,0.918015916,-0.000181262,1.80741014,223.665,106.0975,0.604224567,19.5,221.8363165
HKN,HKN56-SCPT,12.48,11.88408,11.93578032,0.10839644,0.123096,101.2290194,0.927684275,-0.000417964,1.867569725,243.36,115.44,0.608802936,19.5,221.7396434
HKN,HKN56-SCPT,13.48,14.61084,14.66745936,0.12669848,0.134808,115.5828095,0.879197613,-0.000234711,1.797100882,262.86,124.69,0.565225081,19.5,232.3988049
HKN,HKN56-SCPT,14.47,15.96015385,16.02054985,0.133449231,0.1438,117.6133813,0.847455186,-0.000285502,1.770725229,282.165,133.8475,0.543070485,19.5,244.203216
HKN,HKN56-SCPT,15.47,20.79373077,20.85794392,0.166603539,0.152888462,143.6092128,0.809958587,-0.000275431,1.680244136,301.665,143.0975,0.49264177,19.5,257.3611705
HKN,HKN56-SCPT,16.48,17.5996,17.66759464,0.13960324,0.161892,113.7648804,0.805331247,-0.000402792,1.749958899,321.36,152.44,0.511966744,19.5,257.1799718
HKN,HKN56-SCPT,17.47,22.67869231,22.75075785,0.172944769,0.171584615,138.6640175,0.771919308,-0.000333534,1.660442072,340.665,161.5975,0.46554827,19.5,257.1641718
HKN,HKN56-SCPT,18.47,23.15346154,23.22990638,0.183519769,0.182011539,133.8843907,0.802514196,-0.000319411,1.677183711,360.165,170.8475,0.446621265,19.5,271.6791679
HKN,HKN56-SCPT,19.47,23.07861538,23.159362,0.186604731,0.192253846,126.4921317,0.819084493,-0.000321225,1.696408721,379.665,180.0975,0.435422431,19.5,264.74
HKN,HKN56-SCPT,20.98,21.61,21.696814,0.17967204,0.2067,109.7230168,0.843867782,-0.000392616,1.747177405,409.11,194.065,0.429631656,19.5,260.55
